Algorithme;TailleGraphe;FacteurBranchement;TempsExecution;SolutionTrouvee;CoutSolution
astar;10;2;7;true;2554.414369706914
bfs;10;2;2;true;2009.8633873948265
dfs;10;2;1;true;2554.414369706914
gfs;10;2;2;true;2554.414369706914
ucs;10;2;3;true;1506.841981122209
astar;10;4;1;true;1281.9006508970283
bfs;10;4;1;true;1313.7942767091367
dfs;10;4;0;true;1453.5825705564464
gfs;10;4;2;true;1281.9006508970283
ucs;10;4;0;true;1313.7942767091367
astar;10;6;0;true;795.9262261092808
bfs;10;6;1;true;795.9262261092808
dfs;10;6;0;true;795.9262261092808
gfs;10;6;1;true;795.9262261092808
ucs;10;6;1;true;795.9262261092808
astar;10;8;1;true;795.9262261092808
bfs;10;8;0;true;795.9262261092808
dfs;10;8;0;true;795.9262261092808
gfs;10;8;2;true;795.9262261092808
ucs;10;8;1;true;795.9262261092808
astar;100;2;5;true;2999.216402561769
bfs;100;2;5;true;2999.216402561769
dfs;100;2;1;true;8867.748316508714
gfs;100;2;2;true;2999.216402561769
ucs;100;2;8;true;2896.9927590232246
astar;100;4;5;true;1644.242942373601
bfs;100;4;5;true;1644.242942373601
dfs;100;4;3;true;3820.4136000267636
gfs;100;4;4;true;2288.377846174161
ucs;100;4;3;true;1644.242942373601
astar;100;6;3;true;1590.2776614309425
bfs;100;6;7;true;2523.1148054459095
dfs;100;6;4;true;7252.7177173465525
gfs;100;6;8;true;1590.2776614309425
ucs;100;6;8;true;1590.2776614309425
astar;100;8;17;true;1590.2776614309425
bfs;100;8;15;true;2449.7129598107385
dfs;100;8;10;true;3628.3857228573997
gfs;100;8;3;true;1590.2776614309425
ucs;100;8;10;true;1591.9956569025983
astar;1000;2;105;true;5394.5244519982125
bfs;1000;2;135;true;5553.010686005607
dfs;1000;2;44;true;173764.48091421957
gfs;1000;2;11;true;17785.44682383757
ucs;1000;2;105;true;5394.5244519982125
astar;1000;4;128;true;1751.82251935857
bfs;1000;4;516;true;2491.800571140028
dfs;1000;4;133;true;81861.80787376316
gfs;1000;4;95;true;1751.82251935857
ucs;1000;4;170;true;1751.82251935857
astar;1000;6;70;true;1278.3465891019036
bfs;1000;6;459;true;1278.3465891019036
dfs;1000;6;408;true;14489.679017662895
gfs;1000;6;56;true;1346.3074080064432
