Jeu;Taille;Streak;Joueur1;Joueur2;Gagnant;TempsExecution;TotalCoups
tictactoe;3;3;random;random;Random;24;5
tictactoe;3;3;random;minmax;MinMax;302;4
tictactoe;3;3;random;alphabeta;AlphaBeta;25;4
tictactoe;3;3;minmax;random;Draw;1034;5
tictactoe;3;3;minmax;minmax;Draw;920;5
tictactoe;3;3;minmax;alphabeta;Draw;731;5
tictactoe;3;3;alphabeta;random;AlphaBeta;25;3
tictactoe;3;3;alphabeta;minmax;Draw;132;5
tictactoe;3;3;alphabeta;alphabeta;Draw;30;5
tictactoe;3;4;random;random;Random;1;4
tictactoe;3;4;random;minmax;MinMax;79;3
tictactoe;3;4;random;alphabeta;AlphaBeta;5;4
tictactoe;3;4;minmax;random;MinMax;741;3
tictactoe;3;4;minmax;minmax;Draw;930;5
tictactoe;3;4;minmax;alphabeta;Draw;826;5
tictactoe;3;4;alphabeta;random;AlphaBeta;25;3
tictactoe;3;4;alphabeta;minmax;Draw;106;5
tictactoe;3;4;alphabeta;alphabeta;Draw;22;5
tictactoe;3;5;random;random;Random;1;4
tictactoe;3;5;random;minmax;Draw;73;5
tictactoe;3;5;random;alphabeta;Draw;7;5
tictactoe;3;5;minmax;random;MinMax;686;3
tictactoe;3;5;minmax;minmax;Draw;775;5
tictactoe;3;5;minmax;alphabeta;Draw;710;5
tictactoe;3;5;alphabeta;random;AlphaBeta;21;4
tictactoe;3;5;alphabeta;minmax;Draw;97;5
tictactoe;3;5;alphabeta;alphabeta;Draw;30;5
tictactoe;5;3;random;random;Random;0;4
tictactoe;5;3;random;minmax;MinMax;88;4
tictactoe;5;3;random;alphabeta;AlphaBeta;6;4
tictactoe;5;3;minmax;random;MinMax;738;3
tictactoe;5;3;minmax;minmax;Draw;768;5
tictactoe;5;3;minmax;alphabeta;Draw;695;5
tictactoe;5;3;alphabeta;random;AlphaBeta;25;3
tictactoe;5;3;alphabeta;minmax;Draw;101;5
tictactoe;5;3;alphabeta;alphabeta;Draw;22;5
tictactoe;5;4;random;random;Random;0;3
tictactoe;5;4;random;minmax;MinMax;93;4
tictactoe;5;4;random;alphabeta;AlphaBeta;2;3
tictactoe;5;4;minmax;random;MinMax;712;3
tictactoe;5;4;minmax;minmax;Draw;829;5
tictactoe;5;4;minmax;alphabeta;Draw;758;5
tictactoe;5;4;alphabeta;random;AlphaBeta;19;3
tictactoe;5;4;alphabeta;minmax;Draw;112;5
tictactoe;5;4;alphabeta;alphabeta;Draw;24;5
tictactoe;5;5;random;random;Random;0;5
