nbCouches;nbNeurones;pasApprentissage;fonction;erreurMoyenne;tempsApprentissage;score
3;[784, 9, 10];0.001;sigmoid;205.60192555837236;245;95
3;[784, 9, 10];0.01;sigmoid;175.72690349996284;266;107
3;[784, 9, 10];0.1;sigmoid;114.23445900684966;289;205
3;[784, 9, 10];0.001;tanh;132.34529624243302;230;148
3;[784, 9, 10];0.01;tanh;99.47726658126197;318;287
3;[784, 9, 10];0.1;tanh;109.7491903910724;291;510
4;[784, 16, 9, 10];0.001;sigmoid;216.1337159987077;360;111
4;[784, 16, 9, 10];0.01;sigmoid;180.25126954516196;272;105
4;[784, 16, 9, 10];0.1;sigmoid;110.99173125586266;267;115
4;[784, 16, 9, 10];0.001;tanh;236.49737855693434;413;107
4;[784, 16, 9, 10];0.01;tanh;108.28655395307223;274;141
4;[784, 16, 9, 10];0.1;tanh;94.74587034746092;222;365
