nbCouches;nbNeurones;pasApprentissage;fonction;erreurMoyenne;tempsApprentissage;score
3;[784, 9, 10];0.001;sigmoid;217.89;223;107
3;[784, 9, 10];0.01;sigmoid;181.14;213;185
3;[784, 9, 10];0.1;sigmoid;109.98;210;176
3;[784, 9, 10];0.001;tanh;152.91;243;201
3;[784, 9, 10];0.01;tanh;93.14;187;612
3;[784, 9, 10];0.1;tanh;99.79;186;590
4;[784, 16, 9, 10];0.001;sigmoid;210.55;235;107
4;[784, 16, 9, 10];0.01;sigmoid;171.87;225;126
4;[784, 16, 9, 10];0.1;sigmoid;114.60;224;201
4;[784, 16, 9, 10];0.001;tanh;188.10;261;115
4;[784, 16, 9, 10];0.01;tanh;103.70;204;133
4;[784, 16, 9, 10];0.1;tanh;92.51;215;444
