nbCouches;nbNeurones;pasApprentissage;fonction;erreurMoyenne;tempsApprentissage;score
3;[784, 9, 10];0.001;sigmoid;192.57;223;117
3;[784, 9, 10];0.01;sigmoid;180.26;257;117
3;[784, 9, 10];0.1;sigmoid;110.23;207;117
3;[784, 9, 10];0.001;tanh;165.44;248;115
3;[784, 9, 10];0.01;tanh;101.86;253;267
3;[784, 9, 10];0.1;tanh;99.91;170;725
4;[784, 16, 9, 10];0.001;sigmoid;224.50;231;97
4;[784, 16, 9, 10];0.01;sigmoid;176.94;227;99
4;[784, 16, 9, 10];0.1;sigmoid;113.65;230;117
4;[784, 16, 9, 10];0.001;tanh;204.58;422;117
4;[784, 16, 9, 10];0.01;tanh;105.75;215;166
4;[784, 16, 9, 10];0.1;tanh;94.75;243;482
